date_added,company,domain,country,vertical,est_size,fit_score,hook_seed,status,notes,market,segment,locale,team_size,mail_provider,mx_host,dev_team_signal,dev_team_reasons,name_source,source
2026-09-03,Addere Revision,addere.dk,DK,accounting,30,1.0,"Ugen før en frist kommer de samme fire spørgsmål fra kunderne igen og igen, og de skal alle sammen stadig besvares skriftligt.",new,MX=addere-dk.mail.protection.outlook.com; size da headcount on the site; clean; probed 4 pages,dk,accounting,da,25-49,microsoft,addere-dk.mail.protection.outlook.com,0.0,,derived,icp_finder:dk
2026-09-03,Baker Tilly Denmark,bakertilly.dk,DK,accounting,180,1.0,"Ugen før en frist kommer de samme fire spørgsmål fra kunderne igen og igen, og de skal alle sammen stadig besvares skriftligt.",new,MX=bakertilly-dk.mail.protection.outlook.com; size da headcount on the site; clean; probed 4 pages,dk,accounting,da,50+,microsoft,bakertilly-dk.mail.protection.outlook.com,0.0,,derived,icp_finder:dk
2026-09-03,DACAS Dansk Administrationscenter,dacas.dk,DK,administrative,30,1.0,"Beboere og bestyrelsesmedlemmer skriver til kontoret hele dagen, og det meste er de samme få spørgsmål om husleje, reparationer og fraflytning.",new,MX=dacas-dk.mail.protection.outlook.com; size da headcount on the site; clean; probed 4 pages,dk,housing_admin,da,25-49,microsoft,dacas-dk.mail.protection.outlook.com,0.0,,drive,icp_finder:dk
2026-09-03,Inforevision,inforevision.dk,DK,accounting,140,1.0,"Ugen før en frist kommer de samme fire spørgsmål fra kunderne igen og igen, og de skal alle sammen stadig besvares skriftligt.",new,MX=inforevision-dk.mail.protection.outlook.com; size da headcount on the site; clean; probed 4 pages,dk,accounting,da,50+,microsoft,inforevision-dk.mail.protection.outlook.com,0.0,,derived,icp_finder:dk
2026-09-03,Aon Denmark,aon.dk,DK,insurance,,0.75,"En skade bliver anmeldt, og kunden vil have en opdatering hver anden dag på skrift, mens selskabet tager sin tid. Fornyelser gør det samme hvert kvartal.",new,MX=aon-dk.mail.protection.outlook.com; size unknown; G4: employee count unknown; probe failed: URLError,dk,insurance,da,,microsoft,aon-dk.mail.protection.outlook.com,0.0,,derived,icp_finder:dk
2026-09-03,Datea,datea.dk,DK,administrative,,0.75,"Beboere og bestyrelsesmedlemmer skriver til kontoret hele dagen, og det meste er de samme få spørgsmål om husleje, reparationer og fraflytning.",new,MX=datea-dk.mail.protection.outlook.com; size unknown; G4: employee count unknown; probe failed: URLError,dk,housing_admin,da,,microsoft,datea-dk.mail.protection.outlook.com,0.0,,derived,icp_finder:dk
2026-09-03,DEAS,deas.dk,DK,administrative,,0.75,"Beboere og bestyrelsesmedlemmer skriver til kontoret hele dagen, og det meste er de samme få spørgsmål om husleje, reparationer og fraflytning.",new,MX=deas-dk.mail.protection.outlook.com; size unknown; G4: employee count unknown; probed 4 pages,dk,housing_admin,da,,microsoft,deas-dk.mail.protection.outlook.com,0.0,,derived,icp_finder:dk
2026-09-03,Danske Forsikringsmaeglere Erhverv,dkfm.dk,DK,insurance,,0.75,"En skade bliver anmeldt, og kunden vil have en opdatering hver anden dag på skrift, mens selskabet tager sin tid. Fornyelser gør det samme hvert kvartal.",new,MX=dkfm-dk.mail.protection.outlook.com; size unknown; G4: employee count unknown; probed 4 pages,dk,insurance,da,,microsoft,dkfm-dk.mail.protection.outlook.com,0.0,,drive,icp_finder:dk
2026-09-03,GSL Revision,gsl.dk,DK,accounting,,0.75,"Ugen før en frist kommer de samme fire spørgsmål fra kunderne igen og igen, og de skal alle sammen stadig besvares skriftligt.",new,MX=gsl-dk.mail.protection.outlook.com; size unknown; G4: employee count unknown; probed 1 pages,dk,accounting,da,,microsoft,gsl-dk.mail.protection.outlook.com,0.0,,derived,icp_finder:dk
2026-09-03,KAB,kab-bolig.dk,DK,administrative,,0.75,"Beboere og bestyrelsesmedlemmer skriver til kontoret hele dagen, og det meste er de samme få spørgsmål om husleje, reparationer og fraflytning.",new,MX=kabbolig-dk0i.mail.protection.outlook.com; size unknown; G4: employee count unknown; probed 4 pages,dk,housing_admin,da,,microsoft,kabbolig-dk0i.mail.protection.outlook.com,0.0,,derived,icp_finder:dk
2026-09-03,Newsec Denmark,newsec.dk,DK,administrative,,0.75,"Beboere og bestyrelsesmedlemmer skriver til kontoret hele dagen, og det meste er de samme få spørgsmål om husleje, reparationer og fraflytning.",new,MX=newsec-dk.mail.protection.outlook.com; size unknown; G4: employee count unknown; probe failed: URLError,dk,housing_admin,da,,microsoft,newsec-dk.mail.protection.outlook.com,0.0,,derived,icp_finder:dk
2026-09-03,Real Administration,realadmin.dk,DK,administrative,,0.75,"Beboere og bestyrelsesmedlemmer skriver til kontoret hele dagen, og det meste er de samme få spørgsmål om husleje, reparationer og fraflytning.",new,MX=realadmin-dk.mail.protection.outlook.com; size unknown; G4: employee count unknown; probed 4 pages,dk,housing_admin,da,,microsoft,realadmin-dk.mail.protection.outlook.com,0.0,,drive,icp_finder:dk
2026-09-03,Soderberg & Partners,soderberg.dk,DK,insurance,,0.75,"En skade bliver anmeldt, og kunden vil have en opdatering hver anden dag på skrift, mens selskabet tager sin tid. Fornyelser gør det samme hvert kvartal.",new,MX=soderberg-dk.mail.protection.outlook.com; size unknown; G4: employee count unknown; probe failed: URLError,dk,insurance,da,,microsoft,soderberg-dk.mail.protection.outlook.com,0.0,,derived,icp_finder:dk
2026-09-03,SR Revision,sr-revision.dk,DK,accounting,,0.75,"Ugen før en frist kommer de samme fire spørgsmål fra kunderne igen og igen, og de skal alle sammen stadig besvares skriftligt.",new,MX=srrevision-dk0e.mail.protection.outlook.com; size unknown; G4: employee count unknown; probed 4 pages,dk,accounting,da,,microsoft,srrevision-dk0e.mail.protection.outlook.com,0.0,,derived,icp_finder:dk
2026-09-03,Willis Towers Watson Denmark,willis.dk,DK,insurance,,0.75,"En skade bliver anmeldt, og kunden vil have en opdatering hver anden dag på skrift, mens selskabet tager sin tid. Fornyelser gør det samme hvert kvartal.",new,MX=willistowerswatson-com.mail.protection.outlook.com; size unknown; G4: employee count unknown; probed 4 pages,dk,insurance,da,,microsoft,willistowerswatson-com.mail.protection.outlook.com,0.0,,derived,icp_finder:dk
