date_added,company,domain,country,vertical,est_size,fit_score,hook_seed,status,notes,market,segment,locale,team_size,mail_provider,mx_host,dev_team_signal,dev_team_reasons,name_source,source
2026-09-03,ABAB Accountants,abab.nl,NL,accounting,,0.75,"The week before a filing deadline the same four client questions come in over and over, and every one of them still needs a written answer.",new,MX=abab-nl.mail.protection.outlook.com; size unknown; G4: employee count unknown; probed 2 pages,global,accounting,en,,microsoft,abab-nl.mail.protection.outlook.com,0.0,,derived,icp_finder:global
2026-09-03,Arthur J. Gallagher UK,ajg.co.uk,GB,insurance,,0.75,"A claim goes in and the client wants an update every couple of days, in writing, while the carrier takes its time. Renewals do the same thing every quarter.",new,MX=ajg-co-uk.mail.protection.outlook.com; size unknown; G4: employee count unknown; probed 1 pages,global,insurance,en,,microsoft,ajg-co-uk.mail.protection.outlook.com,0.0,,derived,icp_finder:global
2026-09-03,Associa,associa.us,US,administrative,,0.75,"Tenants and board members write to the office all day, and most of it is the same short list of questions about rent, repairs and move outs.",new,MX=associa-us.mail.protection.outlook.com; size unknown; G4: employee count unknown; probed 3 pages,global,housing_admin,en,,microsoft,associa-us.mail.protection.outlook.com,0.0,,derived,icp_finder:global
2026-09-03,Capitol Companies,capitolcorp.com,US,administrative,,0.75,"Tenants and board members write to the office all day, and most of it is the same short list of questions about rent, repairs and move outs.",new,MX=capitolcorp-com.mail.protection.outlook.com; size unknown; G4: employee count unknown; probed 4 pages,global,housing_admin,en,,microsoft,capitolcorp-com.mail.protection.outlook.com,0.0,,drive,icp_finder:global
2026-09-03,City Roots Properties,cityrootsproperties.com,US,administrative,,0.75,"Tenants and board members write to the office all day, and most of it is the same short list of questions about rent, repairs and move outs.",new,MX=cityrootsproperties-com.mail.protection.outlook.com; size unknown; G4: employee count unknown; probed 1 pages,global,housing_admin,en,,microsoft,cityrootsproperties-com.mail.protection.outlook.com,0.0,,drive,icp_finder:global
2026-09-03,Collegiate AC,collegiate-ac.com,GB,administrative,,0.75,"Tenants and board members write to the office all day, and most of it is the same short list of questions about rent, repairs and move outs.",new,MX=collegiateac-com02e.mail.protection.outlook.com; size unknown; G4: employee count unknown; probed 4 pages,global,housing_admin,en,,microsoft,collegiateac-com02e.mail.protection.outlook.com,0.0,,derived,icp_finder:global
2026-09-03,Community Association Management,communityassociationmanagement.com,US,administrative,,0.75,"Tenants and board members write to the office all day, and most of it is the same short list of questions about rent, repairs and move outs.",new,MX=communityassociationmanagement-com.mail.protection.outlook.com; size unknown; G4: employee count unknown; probed 4 pages,global,housing_admin,en,,microsoft,communityassociationmanagement-com.mail.protection.outlook.com,0.0,,drive,icp_finder:global
2026-09-03,CoverLink Insurance,coverlink.com,US,insurance,,0.75,"A claim goes in and the client wants an update every couple of days, in writing, while the carrier takes its time. Renewals do the same thing every quarter.",new,MX=coverlink-com.mail.protection.outlook.com; size unknown; G4: employee count unknown; probed 4 pages,global,insurance,en,,microsoft,coverlink-com.mail.protection.outlook.com,0.0,,drive,icp_finder:global
2026-09-03,Van Diepen accountants,dvan.nl,NL,accounting,,0.75,"The week before a filing deadline the same four client questions come in over and over, and every one of them still needs a written answer.",new,MX=dvan-nl.mail.protection.outlook.com; size unknown; G4: employee count unknown; probe failed: URLError,global,accounting,en,,microsoft,dvan-nl.mail.protection.outlook.com,0.0,,derived,icp_finder:global
2026-09-03,FirstService Residential,fsresidential.com,US,administrative,,0.75,"Tenants and board members write to the office all day, and most of it is the same short list of questions about rent, repairs and move outs.",new,MX=fsresidential-com.mail.protection.outlook.com; size unknown; G4: employee count unknown; probed 4 pages,global,housing_admin,en,,microsoft,fsresidential-com.mail.protection.outlook.com,0.0,,derived,icp_finder:global
